Item Name,UOM,Item Category,Variance ,Base Price,ID,No Decimal Values
ICE CREAM- ROASTED ALMOND,Pieces ,DAIRY,0.00,240.00,"292482000000379115",true
ICE CREAM- VANILLA (700g),Pieces ,DAIRY,0.00,150.00,"292482000000379099",true
IDLI AATA,kg,KIRANA,0.00,95.00,"292482000000406029",false
IDLI RAVA,kg,KIRANA,0.00,70.00,"292482000001776637",false
IMLY,kg,KIRANA,0.00,200.00,"292482000000390841",false
IMLY CHUTNEY,kg,KIRANA,0.00,400.00,"292482000008595090",false
JAIN KETCHUP,Packets,KIRANA,0.00,45.00,"292482000000904043",false
JAM ( CHITALE ),kg,KIRANA,0.00,450.00,"292482000002261071",true
JAM (KISSAN 100 GM),Pieces ,DAIRY,0.00,25.00,"292482000006174335",true
JAM (KISSAN 200 GM),Pieces ,DAIRY,0.00,90.00,"292482000005730829",true
JAM (KISSAN),kg,KIRANA,0.00,450.00,"292482000000924457",false
JAVITRI,kg,KIRANA,0.00,2660.00,"292482000005854159",false
JEERA POWDER,kg,KIRANA,0.00,880.00,"292482000000392155",false
Jowar Aata,kg,KIRANA,0.00,60.00,"292482000006769040",false
KAANDA LASOON MASALA,kg,KIRANA,0.00,320.00,"292482000002739593",false
KABULI CHANA,kg,KIRANA,0.00,180.00,"292482000000377763",false
KABULI CHANA VEG,kg,VEGETABLES,0.00,200.00,"292482000000884504",false
KAJU KANI,kg,KIRANA,0.00,700.00,"292482000000392159",false
KAJU TUKDA,kg,KIRANA,0.00,1000.00,"292482000000390973",false
Kani Rice,kg,KIRANA,0.00,50.00,"292482000001733117",false
KASHMIRI MIRCHI POWDER,kg,KIRANA,0.00,1050.00,"292482000000392041",false
KASTURI METHI,kg,KIRANA,0.00,1200.00,"292482000000390945",false
KESAR,kg,KIRANA,0.00,,"292482000000390993",false
KEWDA WATER (500ML),Bottle,KIRANA,0.00,100.00,"292482000000904723",true
KHADA GARAM MASALA,kg,KIRANA,0.00,1500.00,"292482000000904011",false
KHAS KHAS,kg,KIRANA,0.00,3000.00,"292482000000392099",false
KHEER MASALA (50 GM),Packets,KIRANA,0.00,50.00,"292482000005868401",true
KISMIS,kg,KIRANA,0.00,600.00,"292482000000390985",false
KITCHEN DUSTER,Packets,F&B GENERAL PURCHASE,0.00,,"292482000001776613",true
KITCHEN KING,kg,KIRANA,0.00,940.00,"292482000000392023",false
KOKAM SHARBAT,Bottle,KIRANA,,210.00,"292482000009417930",true
KOLAM RICE,kg,KIRANA,0.00,57.00,"292482000000377697",false
KOLHAPURI MASALA,kg,KIRANA,0.00,960.00,"292482000000392003",false
KULFI,Pieces ,DAIRY,0.00,20.00,"292482000000379091",true
KURMURA,kg,KIRANA,0.00,120.00,"292482000008595086",false
LASSI,Litre,DAIRY,0.00,,"292482000000390255",false
LEMON ,Pieces ,VEGETABLES,0.00,7.00,"292482000000390043",false
LEMON GRASS,Pieces ,VEGETABLES,0.00,20.00,"292482000000390047",false
LIJJAT PAPAD,kg,KIRANA,0.00,350.00,"292482000000390779",false
LIME PICKLE (KG),kg,KIRANA,0.00,200.00,"292482000001218659",false
LV BASIL LEAVES,Pieces ,VEGETABLES,0.00,280.00,"292482000000368815",false
LV BATHUA ,Pieces ,VEGETABLES,0.00,0.00,"292482000008563807",true
LV CORRIENDER,Pieces ,VEGETABLES,0.00,40.00,"292482000000390107",true
LV CURRY LEAVES - KADIPATTA,Pieces ,VEGETABLES,0.00,20.00,"292482000000390663",true
LV METHI,Pieces ,VEGETABLES,0.00,40.00,"292482000000390071",false
LV MINT LEAVES,Pieces ,VEGETABLES,0.00,25.00,"292482000000390647",false
LV PALAK,Pieces ,VEGETABLES,0.00,30.00,"292482000000390079",false
LV SPRING ONION,Pieces ,VEGETABLES,0.00,40.00,"292482000000390091",false
MACARONI PASTA,kg,KIRANA,0.00,100.00,"292482000000392081",false
MAGAJ,kg,KIRANA,0.00,800.00,"292482000000392163",false
MAGGIE,Packets,KIRANA,0.00,84.00,"292482000000392167",true
Maggie Big,Packets,KIRANA,,83.00,"292482000009406838",true
MAGGIE MASALA,Pieces ,KIRANA,0.00,5.00,"292482000000904039",true
MAGGIE VEG CUBES,Pieces ,KIRANA,0.00,35.00,"292482000000392143",false
MAIDA,kg,KIRANA,0.00,60.00,"292482000000392127",false
MAKHANA,kg,KIRANA,0.00,1250.00,"292482000006513985",false
MALVANI MASALA,kg,KIRANA,0.00,850.00,"292482000000390981",false
MANCHURIAN MASALA,Packets,KIRANA,0.00,10.00,"292482000002482311",false
MANGO PICKLE,kg,KIRANA,0.00,300.00,"292482000000390775",false
MASOOR DAL,kg,KIRANA,0.00,120.00,"292482000000377731",false
MATKI,kg,KIRANA,0.00,120.00,"292482000000390861",false
MATKI VEG DON'T USE,kg,VEGETABLES,0.00,0.00,"292482000003116649",false
MAVA,kg,DAIRY,0.00,320.00,"292482000002313675",false
MAYONNAISE,kg,KIRANA,0.00,650.00,"292482000000392095",false
MILK - BUFFLOW,Litre,DAIRY,0.00,76.00,"292482000000390755",false
MILK - COCONUT,Litre,DAIRY,0.00,500.00,"292482000000379047",false
MILK - COW,Litre,DAIRY,0.00,60.00,"292482000000390771",true
MILK - TETRA PACKET,Packets,DAIRY,0.00,75.00,"292482000000379051",true
Mirchi Thesa ,kg,KIRANA,0.00,500.00,"292482000007856056",false
MISAL MASALA,kg,KIRANA,0.00,1045.00,"292482000000392019",false
MIX DAL,kg,KIRANA,0.00,140.00,"292482000005517865",false
MIX DRY FRUIT,kg,KIRANA,0.00,1000.00,"292482000002280643",false
Mix Juice,Litre,KIRANA,0.00,142.00,"292482000007807887",true
MIX PICKLE,kg,KIRANA,0.00,400.00,"292482000000390893",false
MOJITO SYRUP (1 LITRE),Bottle,KIRANA,0.00,,"292482000000390949",true
MOONG DAL,kg,KIRANA,0.00,120.00,"292482000000377719",false
MOP,Pieces ,F&B GENERAL PURCHASE,0.00,225.00,"292482000006520645",true
MOZZARELLA CHEESE (200 GM),Pieces ,DAIRY,0.00,155.00,"292482000006035655",true
Mushroom (200g),Packets,VEGETABLES,0.00,50.00,"292482000001218192",true
MUSTARD OIL,Litre,KIRANA,0.00,190.00,"292482000000392147",false
MUTTON MASALA,kg,KIRANA,0.00,960.00,"292482000000377779",false
MUTTON- BONELESS,kg,MEAT,0.00,,"292482000000367061",false
MUTTON- WITH BONE,kg,MEAT,0.00,,"292482000000367057",false
NAVRATNA MIXER (BHUJIYA),kg,KIRANA,0.00,240.00,"292482000008595088",false
NOODLES (800G),kg,KIRANA,0.00,150.00,"292482000000392111",false
NUTMEG (JAYFAL),kg,KIRANA,0.00,2600.00,"292482000004458861",false
OIL,Litre,KIRANA,0.00,150.00,"292482000000377751",true
OLIVE OIL,Litre,KIRANA,0.00,,"292482000000929343",true
ONION,kg,VEGETABLES,0.00,40.00,"292482000000406203",false
OREGANO,kg,KIRANA,0.00,1200.00,"292482000000390763",false
PADWAL DON'T USE,kg,VEGETABLES,0.00,0.00,"292482000002381829",false
pakoda mirchi,kg,VEGETABLES,0.00,100.00,"292482000001854455",false
PANEER,kg,DAIRY,0.00,320.00,"292482000000379125",false
PANEER BUTTER MASALA,kg,KIRANA,0.00,1100.00,"292482000000392065",false
PANEER MASALA,kg,KIRANA,0.00,1100.00,"292482000000392069",false
PANEER TIKKA MASALA,kg,KIRANA,0.00,1100.00,"292482000000392061",false
PARWAL ,kg,VEGETABLES,0.00,80.00,"292482000000390119",false
PASTA SAUCE,kg,KIRANA,0.00,420.00,"292482000000392175",false
PAV (Pieces),Pieces ,BAKERY,0.00,2.50,"292482000000379071",true
PAV BHAJI MASALA,kg,KIRANA,0.00,940.00,"292482000000392057",false
PENNE PASTA,kg,KIRANA,0.00,160.00,"292482000000392091",false
PERI PERI MASALA,Pieces ,KIRANA,0.00,10.00,"292482000003303719",true
PINEAPPLE,kg,VEGETABLES,0.00,100.00,"292482000000406049",false
PISTA,kg,KIRANA,0.00,1800.00,"292482000000932155",false
Plate,Pieces ,KIRANA,0.00,4.00,"292482000006513119",true
POHA,kg,KIRANA,0.00,60.00,"292482000000392123",false
popcorn,kg,KIRANA,0.00,200.00,"292482000003041945",false
POTATO,kg,VEGETABLES,0.00,30.00,"292482000000368787",false
POTATO SWEET,kg,VEGETABLES,0.00,80.00,"292482000000390123",false
PULAO MASALA,kg,KIRANA,0.00,1600.00,"292482000000929335",false
PURI (PAANI PURI),Pieces ,KIRANA,0.00,,"292482000003010213",true
RADISH (MULI),Pieces ,VEGETABLES,0.00,50.00,"292482000006174195",false
RAI,kg,KIRANA,0.00,200.00,"292482000000390845",false
RAJMA,kg,KIRANA,0.00,180.00,"292482000000932215",false
rajma masala,kg,KIRANA,0.00,1000.00,"292482000000904015",false
RAWA,kg,KIRANA,0.00,70.00,"292482000000392131",false
RED CHILLI SAUCE (750 ML),Bottle,KIRANA,0.00,80.00,"292482000000390747",true
RED PEPPER SAUCE ,Pieces ,KIRANA,0.00,80.00,"292482000000937059",true
RED Pumpkin,kg,VEGETABLES,0.00,65.00,"292482000000368799",false
RICE AATA,kg,KIRANA,0.00,60.00,"292482000000406025",false
ROCK SUGAR,kg,KIRANA,0.00,50.00,"292482000000937055",false
ROCK SUGAR ( DONT USE THIS ),kg,KIRANA,0.00,0.00,"292482000001776633",false
ROOHAFZA (1 litre),Bottle,KIRANA,0.00,180.00,"292482000000390921",true
ROSE WATER,Bottle,KIRANA,0.00,100.00,"292482000000390849",true
SABUDANA,kg,KIRANA,0.00,80.00,"292482000000390885",false
SABZA,kg,KIRANA,0.00,400.00,"292482000000390929",false
SALT,kg,KIRANA,0.00,30.00,"292482000000390809",false
SAMBAR MASALA,kg,KIRANA,0.00,960.00,"292482000000392015",false
SARSON KA SAAG,Pieces ,VEGETABLES,0.00,30.00,"292482000002759885",true
SCHEZWAN CHUTNEY,kg,KIRANA,0.00,280.00,"292482000000390731",false
Scotch Brite,Packets,KIRANA,0.00,45.00,"292482000007113142",true
SEASAME OIL,Litre,KIRANA,,,"292482000008286839",false
SELA BASMASTI,kg,KIRANA,0.00,110.00,"292482000000884412",false
Silver Bag,Packets,KIRANA,0.00,300.00,"292482000007173166",false
SILVER FOIL,Pieces ,KIRANA,0.00,405.00,"292482000002393003",true
SOYA SAUCE (750ML),Bottle,KIRANA,0.00,70.00,"292482000000390739",false
SOYA VADI,kg,KIRANA,0.00,100.00,"292482000000390957",false
Sponge,Pieces ,F&B GENERAL PURCHASE,0.00,,"292482000001927827",false
SPRING ROLL PATTI,Packets,DAIRY,0.00,120.00,"292482000000390783",true
Sprouts- Moong DON'T USE,kg,VEGETABLES,0.00,0.00,"292482000001364613",false
SUGAR,kg,KIRANA,0.00,45.00,"292482000000377735",false
