Villa Name,Active,Primary Villa,Rent Type,Primary,Secondary Villa,Location,State,Head Office,Ekostay ID,Max Occ (member),Haewaya ID,ID,BHK,Bathroom,Category,Modified Time,Added Time
Casa Marina 2BHK- Nerul,false,Casa Marina 6BHK- Nerul,Lease,false,,Goa,Goa,Central Office,293,4.00,,"292482000000368409",2BHK,2.00,Gold,18-Aug-2026 18:43:44,20-Aug-2025 12:48:52
Casa Marina 6BHK- Nerul,false,Casa Marina 6BHK- Nerul,Lease,true,"Casa Marina 2BHK- Nerul,Casa Marina 4BHK- Nerul",Goa,Goa,Central Office,292,12.00,559,"292482000000368405",6BHK,6.00,Gold,18-Aug-2026 18:43:44,20-Aug-2025 12:48:52
Casa Pino- Pilerne,false,Casa Pino- Pilerne,Lease,false,Casa Pino- Pilerne,Goa,Goa,Central Office,291,20.00,532,"292482000000368401",5BHK,5.00,Gold,18-Aug-2026 18:43:44,20-Aug-2025 12:48:52
Hercules Villa,true,Hercules Villa,Revenue Share,false,Hercules Villa,Igatpuri,Maharashtra,Central Office,290,25.00,"1047,953","292482000000368397",5.5BHK,6.00,Luxury,18-Aug-2026 18:49:09,20-Aug-2025 12:40:53
Amani Villa,true,Amani Villa,Lease,false,Amani Villa,Karjat,Maharashtra,Central Office,289,18.00,"1049,948","292482000000368393",4BHK,5.00,Gold,18-Aug-2026 18:48:42,20-Aug-2025 12:41:10
EKOSTAY-  Caribbean Villa #06 BHK,true,EKOSTAY-  Caribbean Villa #06 BHK,Revenue Share,false,"EKOSTAY-  Caribbean Villa #02 BHK,Caribbean Villa #04 BHK,EKOSTAY-  Caribbean Villa #06 BHK",Panvel,Maharashtra,Central Office,288,27.00,1050,"292482000000368389",6BHK,6.00,Gold,18-Aug-2026 18:44:44,20-Aug-2025 12:48:38
Caribbean Villa #04 BHK,true,EKOSTAY-  Caribbean Villa #06 BHK,Revenue Share,false,,Panvel,Maharashtra,Central Office,287,16.00,,"292482000000368385",4BHK,4.00,Original,18-Aug-2026 18:44:44,20-Aug-2025 12:48:38
Palm Estate,true,Palm Estate,Lease,false,Palm Estate,Karjat,Maharashtra,Central Office,286,25.00,"947,1054","292482000000368381",5.5BHK,6.00,Gold,18-Aug-2026 18:48:42,20-Aug-2025 12:41:10
Serene Villa,true,Serene Villa,Lease,false,Serene Villa,Alibaug,Maharashtra,Central Office,284,20.00,"944,6494","292482000000368377",5BHK,4.00,Original,19-Aug-2026 04:59:56,05-Aug-2025 15:52:45
EKOSTAY- Oceanic Villa,true,EKOSTAY- Oceanic Villa,Lease,false,EKOSTAY- Oceanic Villa,Alibaug,Maharashtra,Central Office,283,21.00,"946,6493","292482000000368373",5BHK,4.00,Gold,19-Aug-2026 04:59:56,05-Aug-2025 15:52:45
Cliffside Villa,true,Cliffside Villa,Revenue Share,false,Cliffside Villa,Lonavala,Maharashtra,Central Office,281,15.00,"918,1021","292482000000368369",4BHK,4.00,Gold,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
CASA SIA,true,CASA SIA,Lease,false,CASA SIA,Lonavala,Maharashtra,Central Office,280,35.00,"913,1000","292482000000368365",7BHK,8.00,Luxury,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
Casa Roma,true,Casa Roma,Lease,false,Casa Roma,Alibaug,Maharashtra,Central Office,279,15.00,"929,6504","292482000000368361",5.5BHK,5.00,Original,19-Aug-2026 04:59:56,05-Aug-2025 15:52:45
Pearl House,true,Pearl House,Lease,false,Pearl House,Ooty And Coonoor,Tamil Nadu,Central Office,278,14.00,8171,"292482000000368357",4BHK,4.00,Luxury,18-Aug-2026 18:45:58,20-Aug-2025 12:42:57
Bliss Apartment - Candolim,false,Bliss Apartment - Candolim,Lease,false,,Goa,Goa,Central Office,272,6.00,528,"292482000000368353",2BHK,2.00,Original,18-Aug-2026 18:43:44,20-Aug-2025 12:48:52
Ivory Coast Villa,true,Ivory Coast Villa,Lease,false,Ivory Coast Villa,Alibaug,Maharashtra,Central Office,271,16.00,"928,6485,644,790","292482000000368349",4BHK,4.00,Gold,19-Aug-2026 04:59:56,05-Aug-2025 15:52:45
Blue Door Villa,true,Blue Door Villa,Lease,false,Blue Door Villa,Alibaug,Maharashtra,Central Office,270,15.00,6489,"292482000000368345",3BHK,3.00,Original,19-Aug-2026 04:59:56,05-Aug-2025 15:52:45
Amara Villa,true,Amara Villa,Lease,false,Amara Villa,Alibaug,Maharashtra,Central Office,258,35.00,"935,6503","292482000000368341",9BHK,9.00,Original,19-Aug-2026 04:59:56,05-Aug-2025 15:52:45
Bloomfield Villa,true,Bloomfield Villa,Lease,false,Bloomfield Villa,Alibaug,Maharashtra,Central Office,257,15.00,"939,6497","292482000000368337",4BHK,3.00,Original,19-Aug-2026 04:59:56,05-Aug-2025 15:52:45
Highland Villa 7BHK,true,Highland Villa 7BHK,Lease,true,Highland Villa 6BHK,Panchgani,Maharashtra,Central Office,256,40.00,"951,1059,667","292482000000368333",7BHK,7.00,Luxury,18-Aug-2026 18:49:36,20-Aug-2025 12:40:36
Alpha Villa,true,Alpha Villa,Lease,false,Alpha Villa,Igatpuri,Maharashtra,Central Office,254,10.00,1038,"292482000000368329",3BHK,2.00,Original,18-Aug-2026 18:49:09,20-Aug-2025 12:40:53
Omega Villa,true,Omega Villa,Lease,false,Omega Villa,Igatpuri,Maharashtra,Central Office,253,10.00,1039,"292482000000368325",3BHK,2.00,Original,18-Aug-2026 18:49:09,20-Aug-2025 12:40:53
Aqua Villa,true,Aqua Villa,Lease,false,Aqua Villa,Alibaug,Maharashtra,Central Office,247,15.00,"5795,6488","292482000000368321",3BHK,3.00,Gold,19-Aug-2026 04:59:56,05-Aug-2025 15:52:45
Casa De Aria,true,Casa De Aria,Lease,false,Casa De Aria,Alibaug,Maharashtra,Central Office,245,31.00,"934,6498","292482000000368317",7BHK,7.00,Gold,19-Aug-2026 04:59:56,05-Aug-2025 15:52:45
Winterfell Chalet Villa,false,Winterfell Chalet Villa,Revenue Share,false,Winterfell Chalet Villa,Ooty And Coonoor,Tamil Nadu,Central Office,242,8.00,1064,"292482000000368313",3BHK,3.00,Gold,18-Aug-2026 18:45:58,20-Aug-2025 12:42:57
Iris Villa,true,Iris Villa,Revenue Share,false,Iris Villa,Lonavala,Maharashtra,Central Office,240,20.00,"925,1008","292482000000368309",4BHK,4.00,Gold,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
Neptune Villa,true,Neptune Villa,Revenue Share,false,Neptune Villa,Igatpuri,Maharashtra,Central Office,238,10.00,1041,"292482000000368305",3BHK,4.00,Gold,18-Aug-2026 18:49:09,20-Aug-2025 12:40:53
